id,raw,clean,lang
97,"""如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？""",如何在洗碗机中添加和使用亮碟剂以获得更好的洗涤效果？,zh
98,"""哪些物品不适合在洗碗机中清洗？""",哪些物品不适合在洗碗机中清洗？,zh
99,"""如何根据洗碗机型号安装餐具篮？""",如何根据洗碗机型号安装餐具篮？,zh
100,"""使用洗碗机前如何安装可折叠下层篮架？""",使用洗碗机前如何安装可折叠下层篮架？,zh
101,"""如何调节洗碗机满载时上下碗篮的高度？""",如何调节洗碗机满载时上下碗篮的高度？,zh
102,"""如何清洁洗碗机的进水管滤网？""",如何清洁洗碗机的进水管滤网？,zh
103,"""如何清洁洗碗机的上层喷淋臂？""",如何清洁洗碗机的上层喷淋臂？,zh
104,"""如何拆除空气净化器滤网的塑料包装？""",如何拆除空气净化器滤网的塑料包装？,zh
105,"""如何安装空气净化器的脚轮？""",如何安装空气净化器的脚轮？,zh
106,"""空气净化器通常有哪些模式？如何设置？这些模式有什么特点？""",空气净化器通常有哪些模式？如何设置？这些模式有什么特点？,zh
107,"""空气净化器的室内空气质量指示灯是什么？""",空气净化器的室内空气质量指示灯是什么？,zh
108,"""如何清洁空气净化器的设备内外？""",如何清洁空气净化器的设备内外？,zh
109,"""如何清洁空气净化器的滤网？""",如何清洁空气净化器的滤网？,zh
110,"""如何更换空气净化器的滤网？""",如何更换空气净化器的滤网？,zh
111,"""如何清洁空气净化器的灰尘传感器？""",如何清洁空气净化器的灰尘传感器？,zh
112,"""空气净化器需要长期存放时该怎么做？""",空气净化器需要长期存放时该怎么做？,zh
113,"""如何了解这款健身单车的技术规格？""",如何了解这款健身单车的技术规格？,zh
114,"""启动健身单车前，我需要做什么？""",启动健身单车前，我需要做什么？,zh
115,"""我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？""",我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？,zh
116,"""在健身单车上运动前，我需要调整什么来保证运动的舒适度？""",在健身单车上运动前，我需要调整什么来保证运动的舒适度？,zh
117,"""使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？""",使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？,zh
118,"""使用健身单车的山地类别时，我能体验到哪些预设运动程序？""",使用健身单车的山地类别时，我能体验到哪些预设运动程序？,zh
119,"""挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？""",挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？,zh
120,"""如果我想编辑健身单车的用户档案，需要遵循哪些步骤？""",如果我想编辑健身单车的用户档案，需要遵循哪些步骤？,zh
121,"""我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？""",我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？,zh
122,"""我听说这款健身单车有体能测试程序，这是什么功能？""",我听说这款健身单车有体能测试程序，这是什么功能？,zh
123,"""如果要给电钻充电，需要遵循哪些步骤？""",如果要给电钻充电，需要遵循哪些步骤？,zh
124,"""我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？""",我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？,mixed
126,"""使用电钻时，如何安装单套无键夹头？""",使用电钻时，如何安装单套无键夹头？,zh
127,"""如果要安装和拆卸电钻的电池组，需要遵循什么步骤？""",如果要安装和拆卸电钻的电池组，需要遵循什么步骤？,zh
128,"""使用电钻的腰带挂钩和批头夹时，需要特别注意什么？""",使用电钻的腰带挂钩和批头夹时，需要特别注意什么？,zh
129,"""购买电钻后，应配备哪些附件？""",购买电钻后，应配备哪些附件？,zh
130,"""电钻的三年有限保修包含哪些内容？""",电钻的三年有限保修包含哪些内容？,zh
131,"""购买健身追踪器后，包装盒里应该有什么？""",购买健身追踪器后，包装盒里应该有什么？,zh
132,"""我刚发现健身追踪器电量低，该如何正确为其充电？""",我刚发现健身追踪器电量低，该如何正确为其充电？,zh
133,"""为了让健身追踪器性能更佳，日常佩戴和运动时该将其佩戴在什么位置？""",为了让健身追踪器性能更佳，日常佩戴和运动时该将其佩戴在什么位置？,zh
134,"""我的健身追踪器表带太紧了，该如何扣紧表带？""",我的健身追踪器表带太紧了，该如何扣紧表带？,zh
135,"""我想取下健身追踪器，该如何正确拆卸表带？""",我想取下健身追踪器，该如何正确拆卸表带？,zh
136,"""我听说可以操作健身追踪器的界面，具体该遵循哪些步骤？""",我听说可以操作健身追踪器的界面，具体该遵循哪些步骤？,zh
137,"""健身追踪器能对手机的通知实现哪些功能？""",健身追踪器能对手机的通知实现哪些功能？,zh
138,"""能告诉我健身追踪器是如何追踪皮肤温度变化的吗？""",能告诉我健身追踪器是如何追踪皮肤温度变化的吗？,zh
139,"""通过运动应用，健身追踪器是如何追踪并分析我的运动情况的？""",通过运动应用，健身追踪器是如何追踪并分析我的运动情况的？,zh
140,"""健身追踪器是如何测量我的心率的？""",健身追踪器是如何测量我的心率的？,zh
141,"""我该如何仅使用健身追踪器完成消费支付？""",我该如何仅使用健身追踪器完成消费支付？,zh
142,"""使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？""",使用健身追踪器时，我可能会遇到哪些问题以及该如何解决？,zh
144,"""我想给健身追踪器设置锁屏，该如何实现？""",我想给健身追踪器设置锁屏，该如何实现？,zh
145,"""使用冰箱冰柜时需要注意什么？只需告诉我手册中的前五条。""",使用冰箱冰柜时需要注意什么？只需告诉我手册中的前五条。,zh
146,"""给冰箱连接电源时，需要做到哪些注意事项？只需告诉我手册中的前五条。""",给冰箱连接电源时，需要做到哪些注意事项？只需告诉我手册中的前五条。,zh
153,"""考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？""",考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？,zh
154,"""发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？""",发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？,zh
155,"""日常使用中，如何防止发电机触电事故的发生？""",日常使用中，如何防止发电机触电事故的发生？,zh
156,"""需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？""",需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？,zh
157,"""使用发电机时，燃油的使用前检查十分重要，该如何操作？""",使用发电机时，燃油的使用前检查十分重要，该如何操作？,zh
158,"""启动发电机发动机的前两个步骤是什么？""",启动发电机发动机的前两个步骤是什么？,zh
159,"""我需要给发电机连接交流电，该过程中如何保证自身安全？""",我需要给发电机连接交流电，该过程中如何保证自身安全？,zh
160,"""我注意到发电机上有两种不同的开关，请为我介绍一下。""",我注意到发电机上有两种不同的开关，请为我介绍一下。,zh
161,"""我该在哪里查找并记录发电机的标识信息？""",我该在哪里查找并记录发电机的标识信息？,zh
162,"""使用发电机的直流保护器时，我需要注意什么？""",使用发电机的直流保护器时，我需要注意什么？,zh
163,"""使用发电机前，对发动机机油进行使用前检查十分重要，正确的步骤是什么？""",使用发电机前，对发动机机油进行使用前检查十分重要，正确的步骤是什么？,zh
164,"""根据手册说明，启动发电机发动机的最后三个步骤是什么？""",根据手册说明，启动发电机发动机的最后三个步骤是什么？,zh
165,"""发电机的电池电量不足了，该如何正确充电？""",发电机的电池电量不足了，该如何正确充电？,zh
166,"""我需要让发电机的发动机停机，告诉我该如何操作。""",我需要让发电机的发动机停机，告诉我该如何操作。,zh
167,"""根据手册的建议，使用发电机时该如何检查火花塞？""",根据手册的建议，使用发电机时该如何检查火花塞？,zh
168,"""为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？""",为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？,zh
169,"""我在操作发电机空气滤清器时出现了失误，请告诉我正确的步骤。""",我在操作发电机空气滤清器时出现了失误，请告诉我正确的步骤。,zh
170,"""如果发电机的发动机无法启动，我该怎么办？""",如果发电机的发动机无法启动，我该怎么办？,zh
171,"""我需要将发电机的燃油排空，该如何正确操作？""",我需要将发电机的燃油排空，该如何正确操作？,zh
172,"""使用该发电机为对电压敏感的精密设备供电前，我需要做什么？""",使用该发电机为对电压敏感的精密设备供电前，我需要做什么？,zh
173,"""在划船或钓鱼的场景中，拖曳速度、半滑航速度和滑航速度分别指什么，它们在技巧和应用上有何不同？""",在划船或钓鱼的场景中，拖曳速度、半滑航速度和滑航速度分别指什么，它们在技巧和应用上有何不同？,zh
174,"""如何在深水中登上并平衡摩托艇，确保操作的安全性和稳定性？""",如何在深水中登上并平衡摩托艇，确保操作的安全性和稳定性？,zh
175,"""在滑航速度下驾驶摩托艇转弯时，有哪些技巧能在急转弯时保证稳定性和操控性？""",在滑航速度下驾驶摩托艇转弯时，有哪些技巧能在急转弯时保证稳定性和操控性？,zh
176,"""驾驶摩托艇时，有哪些技巧能在完成大椭圆转弯、绕圈和8字行驶动作的同时，保持操控性和稳定性？""",驾驶摩托艇时，有哪些技巧能在完成大椭圆转弯、绕圈和8字行驶动作的同时，保持操控性和稳定性？,zh
177,"""在驾驶摩托艇进行中低速转弯时，如何控制油门并保持行驶的稳定性和操控性？""",在驾驶摩托艇进行中低速转弯时，如何控制油门并保持行驶的稳定性和操控性？,zh
178,"""如何驾驶摩托艇以拖曳速度直行和转弯，保证操作的平顺性和操控性？""",如何驾驶摩托艇以拖曳速度直行和转弯，保证操作的平顺性和操控性？,zh
179,"""摩托艇全加速行驶时，如何安全平稳地将其停稳？""",摩托艇全加速行驶时，如何安全平稳地将其停稳？,zh
180,"""驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？""",驾驶摩托艇时，如何避免发生碰撞事故，保障自身和水上其他人员的安全？,zh
181,"""水泵发动机安全停机的正确步骤是什么？""",水泵发动机安全停机的正确步骤是什么？,zh
182,"""水泵的核心部件有哪些？""",水泵的核心部件有哪些？,zh
183,"""清洗油箱滤网的详细步骤是什么？""",清洗油箱滤网的详细步骤是什么？,zh
184,"""水泵安全排放燃油的正确步骤是什么？""",水泵安全排放燃油的正确步骤是什么？,zh
185,"""水泵无法抽水的潜在原因有哪些，该如何有效诊断并解决这些问题？""",水泵无法抽水的潜在原因有哪些，该如何有效诊断并解决这些问题？,zh
186,"""如何为温控器设置日期和时间，以实现精准的日程和温度控制？""",如何为温控器设置日期和时间，以实现精准的日程和温度控制？,zh
187,"""如何调整温控器的系统和风扇运行设置，以优化供暖和制冷效果？""",如何调整温控器的系统和风扇运行设置，以优化供暖和制冷效果？,zh
188,"""如何调整温控器的程序日程，以实现高效的能源利用和温度控制？""",如何调整温控器的程序日程，以实现高效的能源利用和温度控制？,zh
189,"""如何在不影响已编程日程的情况下，临时更改温控器的温度设置？""",如何在不影响已编程日程的情况下，临时更改温控器的温度设置？,zh
190,"""当设备或系统出现警报界面时，应采取哪些操作？""",当设备或系统出现警报界面时，应采取哪些操作？,zh
191,"""针对热泵应如何修改接线，以确保连接正确且功能正常？""",针对热泵应如何修改接线，以确保连接正确且功能正常？,zh
192,"""如何安全更换温控器的电池，确保更换后设备功能正常？""",如何安全更换温控器的电池，确保更换后设备功能正常？,zh
193,"""当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？""",当标签与端子不匹配时，应如何正确为温控器重新接线，确保连接无误？,zh
194,"""遇到温控器故障时，可采用哪些故障排除解决方案？""",遇到温控器故障时，可采用哪些故障排除解决方案？,zh
195,"""设备或系统中构成处理器单元的关键组件或部件有哪些？""",设备或系统中构成处理器单元的关键组件或部件有哪些？,zh
196,"""耳机有哪些类型，以及如何更换耳塞？""",耳机有哪些类型，以及如何更换耳塞？,zh
197,"""为保持遮光罩的清晰度和功能性，正确的清洁步骤是什么？""",为保持遮光罩的清晰度和功能性，正确的清洁步骤是什么？,zh
198,"""为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？""",为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？,zh
199,"""使用和操作VR头显时应采取哪些安全预防措施，以确保用户安全和设备使用寿命？""",使用和操作VR头显时应采取哪些安全预防措施，以确保用户安全和设备使用寿命？,mixed
200,"""功能键盘的保修政策通常包含哪些内容，又不包含哪些内容？""",功能键盘的保修政策通常包含哪些内容，又不包含哪些内容？,zh
201,"""功能键盘的保修政策中，损害赔偿的除外责任或免责声明通常是什么？""",功能键盘的保修政策中，损害赔偿的除外责任或免责声明通常是什么？,zh
202,"""如何设置功能键盘？""",如何设置功能键盘？,zh
203,"""如何拆卸和重新安装功能键盘的轴体？""",如何拆卸和重新安装功能键盘的轴体？,zh
204,"""如何将功能键盘搭配CAM软件使用？""",如何将功能键盘搭配CAM软件使用？,mixed
205,"""如何在硬件模式下使用功能键盘？""",如何在硬件模式下使用功能键盘？,zh
206,"""如何安装儿童电动摩托车的挡泥板？""",如何安装儿童电动摩托车的挡泥板？,zh
207,"""如何安装儿童电动摩托车的前轮？""",如何安装儿童电动摩托车的前轮？,zh
208,"""如何为蓝牙激光鼠标安装电池？""",如何为蓝牙激光鼠标安装电池？,zh
209,"""如何为蓝牙激光鼠标安装WIDCOMM蓝牙驱动程序？""",如何为蓝牙激光鼠标安装WIDCOMM蓝牙驱动程序？,mixed
210,"""如何为蓝牙激光鼠标卸载WIDCOMM蓝牙驱动程序？""",如何为蓝牙激光鼠标卸载WIDCOMM蓝牙驱动程序？,mixed
211,"""如何在Windows系统中为蓝牙激光鼠标设置快速配对？""",如何在Windows系统中为蓝牙激光鼠标设置快速配对？,mixed
212,"""如何通过WIDCOMM蓝牙驱动程序为蓝牙激光鼠标设置配对？""",如何通过WIDCOMM蓝牙驱动程序为蓝牙激光鼠标设置配对？,mixed
213,"""如何查看蓝牙激光鼠标的电量状态？""",如何查看蓝牙激光鼠标的电量状态？,zh
214,"""如何首次为蓝牙激光鼠标使用该驱动程序？""",如何首次为蓝牙激光鼠标使用该驱动程序？,zh
215,"""如何将蓝牙激光鼠标与其他人机接口设备相连接？""",如何将蓝牙激光鼠标与其他人机接口设备相连接？,zh
216,"""如何拆卸烤箱门？""",如何拆卸烤箱门？,zh
217,"""如何安装烤箱门？""",如何安装烤箱门？,zh
218,"""如何移动烤箱的顶部加热元件（仅限部分型号）？""",如何移动烤箱的顶部加热元件（仅限部分型号）？,zh
219,"""如何更换烤箱的后部灯（如有）？""",如何更换烤箱的后部灯（如有）？,zh
220,"""如何使用烤箱的接油盘？""",如何使用烤箱的接油盘？,zh
221,"""如何清洁烤箱外部？""",如何清洁烤箱外部？,zh
222,"""如何使用烤箱的烤架？""",如何使用烤箱的烤架？,zh
223,"""烤箱的催化侧面板有什么作用？""",烤箱的催化侧面板有什么作用？,zh
224,"""如何使用烤箱的烤盘？""",如何使用烤箱的烤盘？,zh
225,"""如何使用烤箱的烤架烤盘套装？""",如何使用烤箱的烤架烤盘套装？,zh
226,"""如何使用烤箱的油脂过滤器？""",如何使用烤箱的油脂过滤器？,zh
227,"""如何使用烤箱的滑动搁架？""",如何使用烤箱的滑动搁架？,zh
228,"""如何为混合即时相机安装肩带？""",如何为混合即时相机安装肩带？,zh
229,"""如何为混合即时相机装入电池？""",如何为混合即时相机装入电池？,zh
230,"""如何为混合即时相机装入相纸盒？""",如何为混合即时相机装入相纸盒？,zh
231,"""如何为混合即时相机取出用完的相纸盒？""",如何为混合即时相机取出用完的相纸盒？,zh
232,"""如何设置混合即时相机的自动打印模式？""",如何设置混合即时相机的自动打印模式？,zh
233,"""如何设置混合即时相机的手动打印模式（初始设置）？""",如何设置混合即时相机的手动打印模式（初始设置）？,zh
234,"""如何使用混合即时相机拍摄照片？""",如何使用混合即时相机拍摄照片？,zh
