id,question,status,manual_guess,evidence_status,answer_path,image_ids,notes,updated_at
278,How should fire extinguishers be stored on board and where should they be placed?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/278.json,"[""Manual09_211"", ""Manual09_212""]",Answered from the Yamaha 210FSH 2021 fire extinguisher check and storage section. Two nearby figures were inspected and aligned with the two placement sentences.,2026-05-13T19:38:21+00:00
279,How to care the throttle-cable of the boat?,done,Yamaha 210FSH 2021,checked,agentic-rag/tmp/answers/per_question/279.json,"[""Manual09_263""]",Answered from the Yamaha 210FSH lubrication grease-points section; included the adjacent APS pulley-wheel figure because it identifies the greasing location.,2026-05-13T19:38:21+00:00
280,How do I charge the camera battery when I'm not using it?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/280.json,[],No images used; the recharging procedure and long-term non-use guidance are stated directly in text. PIC count 0 equals images count 0.,2026-05-13T19:38:21+00:00
281,How to install the camera battery when another one is power off?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/281.json,"[""Manual10_16"", ""Camera_09"", ""Camera_10""]","Answered from the Canon EOS 20D main battery installation section. Question 286 separately covers the date/time battery, so this answer uses the BP-511A installation procedure.",2026-05-13T19:38:21+00:00
282,How do I connect the camera using a household power socket?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/282.json,"[""Camera_14"", ""Camera_15"", ""Manual10_19"", ""Manual10_20""]",Answer grounded in the Canon EOS 20D household power outlet procedure. Four adjacent figures are included because each supports a distinct physical connection or routing step.,2026-05-13T19:38:21+00:00
283,How do you mount the lens of a camera when preparing for photography?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/283.json,"[""Manual10_21"", ""Manual10_22"", ""Manual10_23""]",Answered from the Canon EOS 20D Mounting a Lens section. Three images are included because each directly illustrates one mounting step.,2026-05-13T19:38:21+00:00
284,How do you install the card into a camera before photography?,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/284.json,"[""Manual10_25"", ""Manual10_26"", ""Manual10_27""]","The manual's Installing the Card section gives the cover-opening step, CF card orientation and damage warning, eject-button confirmation, and cover-closing/shots-remaining confirmation.",2026-05-13T19:38:21+00:00
285,Have you ever wondered how to remove the camera shutter button? Understanding this process can enhance your photography experience and allow for quick repairs!,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/285.json,[],No image used; the manual gives operating steps for the shutter button and explicitly warns against disassembly/self-service repair.,2026-05-13T19:38:21+00:00
286,How do I replace the camera's date/time battery?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/286.json,"[""Manual10_46"", ""Manual10_47"", ""Manual10_48"", ""Manual10_49""]",All four images are adjacent to distinct physical replacement steps; <PIC> count matches the images array.,2026-05-13T19:38:21+00:00
287,How to set an off-center subject mode of a camera?,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/287.json,"[""Manual10_104"", ""Manual10_106"", ""Manual10_107""]","Answered from the Canon EOS 20D AF mode, AF point selection, and focus-lock procedure. Three <PIC> placeholders align with Manual10_104, Manual10_106, and Manual10_107.",2026-05-13T19:38:21+00:00
288,"Before taking photos, we need to know How to use the eyepiece cover of the camera?",done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/288.json,"[""Manual10_154"", ""Manual10_155""]",Answered from the Canon EOS 20D eyepiece cover section. Manual10_154 shows pushing the eyecup upward; Manual10_155 shows sliding the eyepiece cover down into the eyepiece groove.,2026-05-13T19:38:21+00:00
289,How do I select the AF Mode when before taking a picture?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/289.json,"[""Manual10_99"", ""Camera_30"", ""Camera_31""]","Canon EOS 20D AF mode selection procedure in Creative Zone modes; Basic Zone modes set AF mode automatically. Images correspond to the lens focus switch, AF-WB button, and LCD panel AF mode selection display.",2026-05-13T19:38:21+00:00
290,How to set the camera model to \P\ model?,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/290.json,"[""Manual10_116""]","The question wording says model, but the Canon EOS 20D evidence identifies P as Program AE mode on the Mode Dial. One image is used because it shows the Mode Dial set to P.",2026-05-13T19:38:21+00:00
291,"After or during shooting, how can I view the camera image on TV for better clarity?",done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/291.json,"[""Manual10_182"", ""Manual10_183""]",Answered from the Canon EOS 20D TV playback section. Manual10_182 shows the supplied video cable connected to the camera terminal and TV VIDEO IN. Manual10_183 shows the camera power/playback controls used to display the captured image. Included the non-live-view limitation from the LCD monitor note and the NTSC/PAL troubleshooting caveat.,2026-05-13T19:38:21+00:00
292,How can I delete a single image from my camera if I don't like the photo?,done,Canon EOS 20D.md,checked,agentic-rag/tmp/answers/per_question/292.json,[],"No images used; the text procedure fully answers the question, so <PIC> count is 0 and images count is 0.",2026-05-13T19:38:21+00:00
293,How can I erase all images from my camera if I don't like these.,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/293.json,[],No image placeholders are used because the text procedure fully specifies the controls and menu choices.,2026-05-13T19:38:21+00:00
294,How do I print photos using the camera's CP direct method after taking them?,done,Canon EOS 20D,checked,agentic-rag/tmp/answers/per_question/294.json,"[""Manual10_189"", ""Manual10_207"", ""Manual10_209"", ""Manual10_211""]","Answered from the Canon EOS 20D direct printing setup and CP Direct procedure. Images correspond to the PTP communication setting, CP Direct print setting screen, style options, and print command screen.",2026-05-13T19:38:21+00:00
295,How do you set up the camera to fine tune the model when using it?,done,MV Camera.md,checked,agentic-rag/tmp/answers/per_question/295.json,"[""Manual33_7""]","The question says ""model,"" but the matching manual evidence says to fine tune the picture. Answered from the MV Camera wall-mount aiming and Dashboard setup steps.",2026-05-13T19:38:21+00:00
296,"After the earphones is in my hand, what are the components I should have?",done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/296.json,[],Answered from the In the Box section. No image is needed because the package contents are listed directly in text.,2026-05-13T19:38:21+00:00
297,"If the case battery of earphones is low, how can I charge is?",done,agentic-rag/en-manual/Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/297.json,"[""earphones_04"", ""earphones_05"", ""earphones_06""]","Answered from the Hydrabuds ANC Charging the Case section. Images map to the USB-C case port step, the USB-A power-source step, and the front LED capacity chart.",2026-05-13T19:38:21+00:00
298,"When bluetooth are pairing and connecting, what scenarios I might encounter?",done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/298.json,"[""Manual12_6"", ""Manual12_7""]","Grounded in Hydrabuds ANC Bluetooth Pairing, Bluetooth Connection, Multipoint Bluetooth Connection, and Pair a New Device sections. Image Manual12_6 shows the pairing/connected LED legend; image Manual12_7 shows Bluetooth ON and AL Hydrabuds ANC in the available-device list.",2026-05-13T19:38:21+00:00
299,What are the two main controling functions of earphones?,done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/299.json,[],No image needed; answer is based on the Earbud Controls section headings and control lists.,2026-05-13T19:38:21+00:00
300,"Besides the two main controling functions, what other functions of the earphones can I operate?",done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/300.json,[],Answered from the Hydrabuds ANC Earbud Controls and More Controls sections. No images used because the answer is a direct list of supported controls and gestures.,2026-05-13T19:38:21+00:00
301,"If my earphones won't work, how can I reset them?",done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/301.json,"[""Manual12_12""]","The question asks about earphones that will not work, so the hardware reset is the relevant reset because the manual says it is for earbuds that lock up and are unresponsive. The 6-second factory reset is included only as a caution because it erases all settings.",2026-05-13T19:38:21+00:00
302,What are the maintenance and care policies of the earphones?,done,Hydrabuds ANC.md,checked,agentic-rag/tmp/answers/per_question/302.json,[],Answered from the Hydrabuds ANC Maintenance and Care section. No image is needed because the maintenance policies are fully stated in text and the nearby image belongs to the preceding Safety Precautions section.,2026-05-13T19:38:21+00:00
303,"From three different observing views, what buttons and interfaces should this eReader have?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/303.json,"[""Manual13_0"", ""Manual13_1"", ""Manual13_2""]","Answered from the Device Description front, navigation-button, and bottom views; the three selected images correspond one-to-one with the three <PIC> placeholders.",2026-05-13T19:38:21+00:00
304,What do the functions of Main Menu and Browser History of the eReader can do?,done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/304.json,"[""Manual13_3"", ""Manual13_4""]",Grounded in the Color E-Reader Main Menu and Browser History sections. Images are adjacent UI illustrations for the two explained functions.,2026-05-13T19:38:21+00:00
305,"When in eBook mode of this eReader, what will happen after pressing \M\ botton?",done,Color E-Reader,checked,agentic-rag/tmp/answers/per_question/305.json,"[""eReader_08""]",The raw question recovers the intended quoted M button. The eBook section states that pressing M opens the listed eBook options; eReader_08 shows the same menu.,2026-05-13T19:38:21+00:00
306,"If I want to listen to music using this eReader, what should I do?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/306.json,"[""Manual13_0""]","Grounded in the Color E-Reader Music Mode, device control descriptions, document-management transfer instructions, and technical specifications. One image is used to show the front controls referenced in the steps.",2026-05-13T19:38:21+00:00
307,"Can this eReader record voice? If so, how do I operate this feature?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/307.json,"[""Manual13_11"", ""Manual13_12""]",Grounded in the Color E-Reader Voice Recording section and adjacent record-mode/save-prompt figures. No old submissions or generated answer files were read.,2026-05-13T19:38:21+00:00
308,"I can't find the way to play video using this eReader, can you tell me how to do that?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/308.json,"[""Manual13_9""]","Answered from the Color E-Reader button operation, main menu, video mode, file management, specifications, and the Video mode playback image.",2026-05-13T19:38:21+00:00
309,"Can this eReader become a photo viewer? If so, how do I operate this feature?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/309.json,"[""Manual13_0""]",Grounded in the Color E-Reader Photo section and document-management instructions. One image is included because the answer references the physical controls used to operate Photo mode.,2026-05-13T19:38:21+00:00
310,"When using this eReader, what kinds of trobles might I encounter and how to solve them?",done,Color E-Reader.md,checked,agentic-rag/tmp/answers/per_question/310.json,[],"No images used; the answer is grounded in the text troubleshooting entries plus the related Micro SD, reset, factory restore, and manufacturer-contact cautions.",2026-05-13T19:38:21+00:00
311,"When connecting the fax, hwo can I properly finish the procedure?",done,Brother Safety Guide.md,checked,agentic-rag/tmp/answers/per_question/311.json,[],No image is needed because the answer is grounded in text instructions and safety notices for fax-capable Brother models.,2026-05-13T19:38:21+00:00
312,What should I pay attention to in order to ensure my safety when using this fax?,done,Brother Safety Guide.md,checked,agentic-rag/tmp/answers/per_question/312.json,[],No image used; the applicable evidence is textual safety guidance for Brother models with the fax function.,2026-05-13T19:38:21+00:00
313,"In order to keep your fingers safe, what should you pay attention to about the fax?",done,Brother Safety Guide.md,checked,agentic-rag/tmp/answers/per_question/313.json,"[""Manual15_7"", ""Manual15_8"", ""Manual15_9""]",Answered from the Brother Product Safety Guide CAUTION section. Included only the images that directly show the finger or pinch areas referenced by the safety text.,2026-05-13T19:38:21+00:00
314,I'm about to move this fax. Is there anything I should pay attention to?,done,Brother Safety Guide.md,checked,agentic-rag/tmp/answers/per_question/314.json,"[""fax_08"", ""Manual15_10"", ""Manual15_11"", ""Manual15_12""]","Answered from Brother Safety Guide safety, placement, telephone-line, and carrying instructions. Images are included only where the manual text uses the adjacent figure to identify lift or carry positions.",2026-05-13T19:38:21+00:00
315,"Are caution or warning labels inside the fax important? If not, can I remove them?",done,Brother Safety Guide,checked,agentic-rag/tmp/answers/per_question/315.json,[],No image used because the text directly answers whether the labels may be removed.,2026-05-13T19:38:21+00:00
316,"If I'm in Canada, is there any statement of the fax vailable in my country?",done,Brother Safety Guide.md,checked,agentic-rag/tmp/answers/per_question/316.json,[],No image needed; the Canada/fax answer is text-only regulatory guidance.,2026-05-13T19:38:21+00:00
317,"When using the grill, how to connect regulator to the LP Tank?",done,Outdoor Grill.md,checked,agentic-rag/tmp/answers/per_question/317.json,"[""Manual19_16"", ""Manual19_17"", ""Manual19_18""]","Answered from the Outdoor Grill 'Connecting Regulator To The LP Tank' section. Selected only figures that materially support the valve parts, forbidden plug, and straight-line regulator connection.",2026-05-13T19:38:21+00:00
318,"To engure my safety when using the grill, how to do leak testing on valves, hose and regulatol?",done,Outdoor Grill.md,checked,agentic-rag/tmp/answers/per_question/318.json,"[""Manual19_20""]","The answer uses the Outdoor Grill leak-testing procedure for valves, hose, and regulator. Manual19_20 is included because it shows the bubble-check points around the LP tank connection, hose, regulator, and valve manifold.",2026-05-13T19:38:21+00:00
319,What should I pay attention to on ablout indirect cooking using the grill?,done,Outdoor Grill.md,checked,agentic-rag/tmp/answers/per_question/319.json,"[""Manual19_36"", ""Manual19_37""]",Answered from the Outdoor Grill indirect cooking section. Images are included because they show the one-burner and two-burner on/off arrangements referenced by the answer.,2026-05-13T19:38:21+00:00
320,What are the first three steps in assembly process of the grill according to the manual?,done,Outdoor Grill.md,checked,agentic-rag/tmp/answers/per_question/320.json,"[""Manual19_49"", ""Manual19_50"", ""Manual19_52"", ""Manual19_51""]","Answered from the Outdoor Grill assembly section. Images were inspected and included for the caster layout, side-panel placement, light-adapter fastening, and lower-back-panel placement.",2026-05-13T19:38:21+00:00
321,Can you share me some safety tips using the grill?,done,Outdoor Grill.md,checked,agentic-rag/tmp/answers/per_question/321.json,[],No images used because the question asks for general safety tips and the relevant manual evidence is textual.,2026-05-13T19:38:21+00:00
322,What are identification numbers of my jetski? I don't understand that.,done,Yamaha WaveRunner 2005.md,checked,agentic-rag/tmp/answers/per_question/322.json,"[""jetski_01"", ""jetski_02"", ""jetski_03""]","Answered from the WaveRunner identification-number section. Images use the location diagrams adjacent to the PRI-ID, HIN, and engine serial number descriptions.",2026-05-13T19:38:21+00:00
323,I've heard that my jetski has cruising limitations. Please introduce them.,done,Yamaha WaveRunner 2005,checked,agentic-rag/tmp/answers/per_question/323.json,"[""Manual20_16"", ""Manual20_17"", ""Manual20_18""]","Evidence from the Yamaha WaveRunner cruising limitations section; selected images directly illustrate safe clearance, the 60 cm (2 ft) minimum depth, and prohibited night operation.",2026-05-13T19:38:21+00:00
324,I've heard that my jetski has cruising limitations. Please introduce them.,done,Yamaha WaveRunner 2005,checked,agentic-rag/tmp/answers/per_question/324.json,[],"The Cruising limitations section directly lists visibility, distance, weather, shallow-water, wake-jumping, and night-operation restrictions. No image is needed because the restrictions are fully stated in text.",2026-05-13T19:38:21+00:00
325,What are the operation requirements if I want to use my jetski?,done,Yamaha WaveRunner 2005,checked,agentic-rag/tmp/answers/per_question/325.json,"[""Manual20_19""]","Answered from the Yamaha WaveRunner 2005 safety information, using the operation requirements section plus adjacent operator limitations, cruising limitations, rules, and recommended equipment. One image is included because it labels the required PFD and wetsuit bottom.",2026-05-13T19:38:21+00:00
326,What kinds of watercraft characteristics does my jetski have?,done,Yamaha WaveRunner 2005.md,checked,agentic-rag/tmp/answers/per_question/326.json,"[""Manual20_24"", ""Manual20_25""]",Answered from the Watercraft characteristics and Turning the watercraft sections. Images identify the shut-off clip/switch and the intake grate/jet thrust nozzle referenced by the safety cautions.,2026-05-13T19:38:21+00:00
